LANGE MOVEMENT CALIBRE CHARACTERISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updated 30AUG24  |  Please e-mail corrections and additions to this address:  sportdeath @  comcast . net  (remove the spaces around the @ and .),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAL. NUMBERING: ""Lwxy.z"" → ""wx""=year development began, ""y""=sequence # in that development year, ""z""=variation # (Ex: L043.5 = 3rd movement developed in 2004 & 5th variation of base cal. L043; L901.0 development began 1990)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE LOOK FOR THIS STOLEN LANGE WATCH, CLICK HERE: # 39/100 (caseback # 117439, movement # 7439)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVEMENT CALIBRE,Typical Model,Years Sold,Winding Type,Diameter (mm),Height (mm),Parts,Rubies,Diamonds,Chatons,Power Reserve (hours),Frequency,Balance Adjust,Balance Spring,Barrels,Tourbillon,Fusée & Chain,Acoustics,Seconds Mechanism,Column Wheel,Power Reserve Display,Hours/ Minutes,Seconds,Date,Day,Week,Month,Leap Year,Time Zone,Day/Night or 12/24H,Moonphase,Chronograph,Flyback,Split,Notes
L072.1,"Richard Lange Tourbillion ""Pour le Mérite""",2011-now,Manual,33.60,7.60,351 + 636 in chain,31,1,3,36,"  21,600   ",screws,Lange in-house,1,yes,yes,none,stop,no,no,regulator,subdial,no,no,no,no,no,no,no,no,no,no,no,
L082.1,Lange 1 Tourbillon Perpetual Calendar,2012-now,Automatic,34.10,7.80,624,75,1,6,50,"  21,600   ",weights,Lange in-house,1,yes (back),no,none,stop,no,no,subdial,subdial,Big Date,hand/arc,no,main dial ring,window,no,subdial,yes,no,no,no,
L085.1,Saxonia Annual Calendar,2010-now,Automatic,30.40,5.40,476,43,0,0,46,"  21,600   ",screws,Nivarox®,1,no,no,none,Zero Reset,no,no,center,subdial,Big Date,subdial,no,subdial,no,no,no,yes,no,no,no,
L086.1,Saxonia Automatik,2011-now,Automatic,30.40,3.70,209,31,0,0,72,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,no,no,center,subdial,no,no,no,no,no,no,no,no,no,no,no,
L086.2,Saxonia Dual Time,2011-2017,Automatic,30.40,4.60,268,31,0,0,72,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,no,no,center,subdial,no,no,no,no,no,center,subdial,no,no,no,no,
L086.4,Saxonia Automatik,2012-now,Automatic,30.40,3.70,209,31,0,0,72,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,no,no,center,subdial,no,no,no,no,no,no,no,no,no,no,no,same as L086.1 but longer pinions for thicker (MOP) dial
L086.5,Saxonia Moonphase,2016-now,Automatic,30.40,5.20,325,40,0,0,72,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,no,no,center,subdial,Big Date,no,no,no,no,no,no,yes,no,no,no,
L086.8,Saxonia Outsize Date,2018-now,Automatic,30.40,5.20,286,40,0,0,72,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,no,no,center,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,
L093.1,Saxonia Thin,2011-now,Manual,28.00,2.90,167,21,0,3,72,"  21,600   ",screws,Lange in-house,1,no,no,none,N/A,no,no,center,none,no,no,no,no,no,no,no,no,no,no,no,
L094.1,Richard Lange Jumping Seconds,2016-now,Manual,33.60,6.00,390,50,0,8,42,"  21,600   ",weights,Lange in-house,1,no,no,none,Zero Reset + jumping,no,window,subdial,subdial,no,no,no,no,no,no,no,no,no,no,no,
L095.1,Grand Lange 1,2012-now,Manual,34.10,4.70,397,42,0,7,72,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,
L095.2,"Grand Lange 1 ""Lumen""",2013-2015,Manual,34.10,4.70,400,42,0,7,72,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,
L095.3,Grand Lange 1 Moonphase,2014-now,Manual,34.10,4.70,446,45,0,7,72,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,yes,no,no,no,
L095.4,"Grand Lange 1 Moon ""Lumen""",2016-2017,Manual,34.10,4.70,446,45,0,7,72,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,yes,no,no,no,moon disc made of glass
L096.1,"Richard Lange Perpetual Calendar ""Terraluna""",2014-now,Manual,37.30,11.10,787,80,0,1,336,"  21,600   ",screws,Lange in-house,2,no,no,none,stop,no,no,regulator,subdial,Big Date,window,no,window,window,no,disc (back),yes,no,no,no,moonphase displayed on back
L101.1,1815 Rattrapante Perpetual Calendar,2013-now,Manual,32.60,9.10,631,43,0,4,42,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,2,subdial,center,subdial,subdial,subdial,no,subdial,subdial,no,no,yes,yes,no,yes,
L101.2,1815 Rattrapante,2020-now,Manual,32.60,7.40,365,36,0,4,58,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,2,no,center,subdial,no,no,no,no,no,no,no,no,yes,no,yes,
L102.1,1815 Tourbillon,2014-now,Manual,32.60,6.60,262,20,1,5,72,"  21,600   ",screws,Lange in-house,1,yes,no,none,Zero Reset,no,no,center,subdial,no,no,no,no,no,no,no,no,no,no,no,"prototypes lacked double jewel on tourbillon and were engraved ""19 rubines"""
L121.1,Lange 1,2015-now,Manual,30.60,5.70,368,43,0,8,72,"  21,600   ",weights,Lange in-house,2,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,revision of cal. L901.0
L121.2,Little Lange 1 Moonphase,2017-now,Manual,30.60,6.00,411,44,0,8,72,"  21,600   ",weights,Lange in-house,2,no,no,none,stop,no,subdial,subdial,sub,Big Date,no,no,no,no,no,no,yes,no,no,no,
